	Link	Country	Currency	PerMonth	PerHour	LastUpdated	Date of scrape
0	https://wageindicator.org/salary/minimum-wage/argentina	Argentina	Argentina	"12,500.00"			03/05/2019 10:49
1	https://wageindicator.org/salary/minimum-wage/australia	Australia	Australia		18.93	Valid on mei 2019	03/05/2019 10:49
2	https://wageindicator.org/salary/minimum-wage/austria	Austria	Austria	"1,450.00"			03/05/2019 10:49
3	https://wageindicator.org/salary/minimum-wage/azerbaijan	Azerbaijan	Azerbaijan	180		Valid on mei 2019	03/05/2019 10:49
4	https://wageindicator.org/salary/minimum-wage/bahamas	Bahamas	Bahamas		5.25	Valid on mei 2019	03/05/2019 10:49
5	https://wageindicator.org/salary/minimum-wage/bangladesh	Bangladesh	Bangladesh	"1,500.00"			03/05/2019 10:49
6	https://wageindicator.org/salary/minimum-wage/belarus	Belarus	Belarus	330		Valid on mei 2019	03/05/2019 10:49
7	https://wageindicator.org/salary/minimum-wage/belgium	Belgium	Belgium	"1,562.59"		Valid on mei 2019	03/05/2019 10:49
8	https://wageindicator.org/salary/minimum-wage/benin	Benin	Benin	"40,000.00"		Valid on mei 2019	03/05/2019 10:49
9	https://wageindicator.org/salary/minimum-wage/bolivia	Bolivia	Bolivia	"2,060.00"		Valid on mei 2019	03/05/2019 10:49
10	https://wageindicator.org/salary/minimum-wage/botswana	Botswana	Botswana		5.79	Valid on mei 2019	03/05/2019 10:49
11	https://wageindicator.org/salary/minimum-wage/brazil	Brazil	Brazil	998		Valid on mei 2019	03/05/2019 10:49
12	https://wageindicator.org/salary/minimum-wage/bulgaria	Bulgaria	Bulgaria	560	3.37	Valid on mei 2019	03/05/2019 10:49
13	https://wageindicator.org/salary/minimum-wage/cabo-verde	Cabo Verde	Cabo Verde	"13,000.00"		Valid on mei 2019	03/05/2019 10:49
14	https://wageindicator.org/salary/minimum-wage/cambodia	Cambodia	Cambodia				03/05/2019 10:49
15	https://wageindicator.org/salary/minimum-wage/canada	Canada	Canada		15	Valid on mei 2019	03/05/2019 10:49
16	https://wageindicator.org/salary/minimum-wage/central-african-republic	Central African Republic	Central African Republic	"35,000.00"	218.75	Valid on mei 2019	03/05/2019 10:49
17	https://wageindicator.org/salary/minimum-wage/chad	Chad	Chad		302.8	Valid on mei 2019	03/05/2019 10:49
18	https://wageindicator.org/salary/minimum-wage/chile	Chile	Chile	"288,000.00"		Valid on mei 2019	03/05/2019 10:49
19	https://wageindicator.org/salary/minimum-wage/china	China	China				03/05/2019 10:49
20	https://wageindicator.org/salary/minimum-wage/colombia	Colombia	Colombia	"925,148.00"		Valid on mei 2019	03/05/2019 10:49
21	https://wageindicator.org/salary/minimum-wage/congo	Congo	Congo			Valid on mei 2019	03/05/2019 10:49
22	https://wageindicator.org/salary/minimum-wage/congo-brazzaville	Congo Brazzaville	Congo Brazzaville				03/05/2019 10:49
23	https://wageindicator.org/salary/minimum-wage/cost-rica	Cost Rica	Cost Rica				03/05/2019 10:49
24	https://wageindicator.org/salary/minimum-wage/côte-d’ivoire	Côte d’Ivoire	Côte d’Ivoire				03/05/2019 10:49
25	https://wageindicator.org/salary/minimum-wage/czech-republic	Czech Republic	Czech Republic			Valid on may 2019	03/05/2019 10:49
26	https://wageindicator.org/salary/minimum-wage/denmark	Denmark	Denmark				03/05/2019 10:49
27	https://wageindicator.org/salary/minimum-wage/dominican-republic	Dominican Republic	Dominican Republic	"15,447.60"		Valid on mei 2019	03/05/2019 10:49
28	https://wageindicator.org/salary/minimum-wage/ecuador	Ecuador	Ecuador			Valid on mei 2019	03/05/2019 10:49
29	https://wageindicator.org/salary/minimum-wage/egypt	Egypt	Egypt	"2,000.00"		Valid on mei 2019	03/05/2019 10:49
30	https://wageindicator.org/salary/minimum-wage/elsalvador	ElSalvador	ElSalvador	295		Valid on mei 2019	03/05/2019 10:49
31	https://wageindicator.org/salary/minimum-wage/ethiopia	Ethiopia	Ethiopia			Valid on mei 2019	03/05/2019 10:49
32	https://wageindicator.org/salary/minimum-wage/finland	Finland	Finland				03/05/2019 10:49
33	https://wageindicator.org/salary/minimum-wage/france	France	France		10.03	Valid on mei 2019	03/05/2019 10:49
34	https://wageindicator.org/salary/minimum-wage/gabon	Gabon	Gabon	"150,000.00"		Valid on mei 2019	03/05/2019 10:49
35	https://wageindicator.org/salary/minimum-wage/gambia	Gambia	Gambia			Valid on mei 2019	03/05/2019 10:49
36	https://wageindicator.org/salary/minimum-wage/germany	Germany	Germany		9.19	Valid on mei 2019	03/05/2019 10:49
37	https://wageindicator.org/salary/minimum-wage/ghana	Ghana	Ghana			Valid on mei 2019	03/05/2019 10:49
38	https://wageindicator.org/salary/minimum-wage/greece	Greece	Greece	650			03/05/2019 10:49
39	https://wageindicator.org/salary/minimum-wage/guatemala	Guatemala	Guatemala	"2,742.37"		Valid on mei 2019	03/05/2019 10:49
40	https://wageindicator.org/salary/minimum-wage/guinea	Guinea	Guinea				03/05/2019 10:49
41	https://wageindicator.org/salary/minimum-wage/guine-bissau	Guine Bissau	Guine Bissau				03/05/2019 10:49
42	https://wageindicator.org/salary/minimum-wage/haiti	Haiti	Haiti			Valid on mei 2019	03/05/2019 10:49
43	https://wageindicator.org/salary/minimum-wage/honduras	Honduras	Honduras			Valid on mei 2019	03/05/2019 10:49
44	https://wageindicator.org/salary/minimum-wage/hong-kong	Hong Kong	Hong Kong				03/05/2019 10:49
45	https://wageindicator.org/salary/minimum-wage/hungary	Hungary	Hungary	"149,000.00"	846.59	Valid on mei 2019	03/05/2019 10:49
46	https://wageindicator.org/salary/minimum-wage/india	India	India				03/05/2019 10:49
47	https://wageindicator.org/salary/minimum-wage/indonesia	Indonesia	Indonesia				03/05/2019 10:49
48	https://wageindicator.org/salary/minimum-wage/ireland	Ireland	Ireland		9.8	Valid on mei 2019	03/05/2019 10:49
49	https://wageindicator.org/salary/minimum-wage/italy	Italy	Italy				03/05/2019 10:49
50	https://wageindicator.org/salary/minimum-wage/jamaica	Jamaica	Jamaica			Valid on mei 2019	03/05/2019 10:49
51	https://wageindicator.org/salary/minimum-wage/japan	Japan	Japan		835	Valid on mei 2019	03/05/2019 10:49
52	https://wageindicator.org/salary/minimum-wage/kazakhstan	Kazakhstan	Kazakhstan	"42,500.00"		Valid on mei 2019	03/05/2019 10:49
53	https://wageindicator.org/salary/minimum-wage/kenya	Kenya	Kenya			Valid on mei 2019	03/05/2019 10:49
54	https://wageindicator.org/salary/minimum-wage/la-reunion	La Reunion	La Reunion				03/05/2019 10:49
55	https://wageindicator.org/salary/minimum-wage/latvia	Latvia	Latvia				03/05/2019 10:49
56	https://wageindicator.org/salary/minimum-wage/lesotho	Lesotho	Lesotho			Valid on mei 2019	03/05/2019 10:49
57	https://wageindicator.org/salary/minimum-wage/liberia	Liberia	Liberia	-	15	Valid on mei 2019	03/05/2019 10:49
58	https://wageindicator.org/salary/minimum-wage/lithuania	Lithuania	Lithuania	555		Valid on mei 2019	03/05/2019 10:49
59	https://wageindicator.org/salary/minimum-wage/luxembourg	Luxembourg	Luxembourg				03/05/2019 10:49
60	https://wageindicator.org/salary/minimum-wage/macedonia	Macedonia	Macedonia				03/05/2019 10:49
61	https://wageindicator.org/salary/minimum-wage/madagascar	Madagascar	Madagascar			Valid on mei 2019	03/05/2019 10:49
62	https://wageindicator.org/salary/minimum-wage/malawi	Malawi	Malawi	"25,000.00"		Valid on mei 2019	03/05/2019 10:49
63	https://wageindicator.org/salary/minimum-wage/malaysia	Malaysia	Malaysia	"1,100.00"		Valid on mei 2019	03/05/2019 10:49
64	https://wageindicator.org/salary/minimum-wage/mali	Mali	Mali	"40,000.00"	230.77	Valid on mei 2019	03/05/2019 10:49
65	https://wageindicator.org/salary/minimum-wage/malta	Malta	Malta			Valid on mei 2019	03/05/2019 10:49
66	https://wageindicator.org/salary/minimum-wage/mauritius	Mauritius	Mauritius	"8,140.00"		Valid on mei 2019	03/05/2019 10:49
67	https://wageindicator.org/salary/minimum-wage/mexico	Mexico	Mexico			Valid on mei 2019	03/05/2019 10:49
68	https://wageindicator.org/salary/minimum-wage/mongolia	Mongolia	Mongolia	"320,000.00"		Valid on mei 2019	03/05/2019 10:49
69	https://wageindicator.org/salary/minimum-wage/montenegro	Montenegro	Montenegro				03/05/2019 10:49
70	https://wageindicator.org/salary/minimum-wage/mozambique	Mozambique	Mozambique	"4,150.00"		Valid on mei 2019	03/05/2019 10:49
71	https://wageindicator.org/salary/minimum-wage/myanmar	Myanmar	Myanmar		600	Valid on mei 2019	03/05/2019 10:49
72	https://wageindicator.org/salary/minimum-wage/namibia	Namibia	Namibia	"1,564.39"	9.03	Valid on mei 2019	03/05/2019 10:49
73	https://wageindicator.org/salary/minimum-wage/netherlands	Netherlands	Netherlands			Valid on mei 2019	03/05/2019 10:49
74	https://wageindicator.org/salary/minimum-wage/new-caledonia	New Caledonia	New Caledonia	"156,568.00"	926.44	Valid on mei 2019	03/05/2019 10:49
75	https://wageindicator.org/salary/minimum-wage/new-zealand	New Zealand	New Zealand		17.7		03/05/2019 10:49
76	https://wageindicator.org/salary/minimum-wage/nicaragua	Nicaragua	Nicaragua	"4,176.49"		Valid on mei 2019	03/05/2019 10:49
77	https://wageindicator.org/salary/minimum-wage/niger	Niger	Niger	"30,047.00"		Valid on mei 2019	03/05/2019 10:49
78	https://wageindicator.org/salary/minimum-wage/nigeria	Nigeria	Nigeria	"30,000.00"		Valid on mei 2019	03/05/2019 10:49
79	https://wageindicator.org/salary/minimum-wage/pakistan	Pakistan	Pakistan			Valid on mei 2019	03/05/2019 10:49
80	https://wageindicator.org/salary/minimum-wage/panama	Panama	Panama			Valid on mei 2019	03/05/2019 10:49
81	https://wageindicator.org/salary/minimum-wage/papua-new-guinea	Papua New Guinea	Papua New Guinea		3.5	Valid on mei 2019	03/05/2019 10:49
82	https://wageindicator.org/salary/minimum-wage/paraguay	Paraguay	Paraguay	"2,112,562.00"		Valid on mei 2019	03/05/2019 10:49
83	https://wageindicator.org/salary/minimum-wage/peru	Peru	Peru	930		Valid on mei 2019	03/05/2019 10:49
84	https://wageindicator.org/salary/minimum-wage/philippines	Philippines	Philippines			Valid on mei 2019	03/05/2019 10:49
85	https://wageindicator.org/salary/minimum-wage/poland	Poland	Poland	"2,250.00"		Valid on mei 2019	03/05/2019 10:49
86	https://wageindicator.org/salary/minimum-wage/portugal	Portugal	Portugal	600		Valid on mei 2019	03/05/2019 10:49
87	https://wageindicator.org/salary/minimum-wage/puerto-rico	Puerto Rico	Puerto Rico		7.25	Valid on mei 2019	03/05/2019 10:49
88	https://wageindicator.org/salary/minimum-wage/russia	Russia	Russia	"11,280.00"		Valid on mei 2019	03/05/2019 10:49
89	https://wageindicator.org/salary/minimum-wage/rwanda	Rwanda	Rwanda			Valid on mei 2019	03/05/2019 10:49
90	https://wageindicator.org/salary/minimum-wage/senegal	Senegal	Senegal		213.39		03/05/2019 10:49
91	https://wageindicator.org/salary/minimum-wage/serbia	Serbia	Serbia				03/05/2019 10:49
92	https://wageindicator.org/salary/minimum-wage/sierra-leone	Sierra Leone	Sierra Leone	"500,000.00"		Valid on mei 2019	03/05/2019 10:49
93	https://wageindicator.org/salary/minimum-wage/slovakia	Slovakia	Slovakia	520	2.95	Valid on mei 2019	03/05/2019 10:49
94	https://wageindicator.org/salary/minimum-wage/slovenia	Slovenia	Slovenia	886.63		Valid on mei 2019	03/05/2019 10:49
95	https://wageindicator.org/salary/minimum-wage/south-africa	South Africa	South Africa			Valid on mei 2019	03/05/2019 10:49
96	https://wageindicator.org/salary/minimum-wage/south-korea	South Korea	South Korea		"8,350.00"	Valid on mei 2019	03/05/2019 10:49
97	https://wageindicator.org/salary/minimum-wage/south-sudan	South Sudan	South Sudan				03/05/2019 10:49
98	https://wageindicator.org/salary/minimum-wage/spain	Spain	Spain	-	7.04		03/05/2019 10:49
99	https://wageindicator.org/salary/minimum-wage/sri-lanka	Sri Lanka	Sri Lanka			Valid on mei 2019	03/05/2019 10:49
100	https://wageindicator.org/salary/minimum-wage/suriname	Suriname	Suriname				03/05/2019 10:49
101	https://wageindicator.org/salary/minimum-wage/swaziland	Swaziland	Swaziland	531.6		Valid on mei 2019	03/05/2019 10:49
102	https://wageindicator.org/salary/minimum-wage/sweden	Sweden	Sweden				03/05/2019 10:49
103	https://wageindicator.org/salary/minimum-wage/switzerland	Switzerland	Switzerland		20		03/05/2019 10:49
104	https://wageindicator.org/salary/minimum-wage/tanzania	Tanzania	Tanzania			Valid on mei 2019	03/05/2019 10:49
105	https://wageindicator.org/salary/minimum-wage/togo	Togo	Togo	"35,000.00"		Valid on mei 2019	03/05/2019 10:49
106	https://wageindicator.org/salary/minimum-wage/trinidad-and-tobago	Trinidad and Tobago	Trinidad and Tobago		15	Valid on mei 2019	03/05/2019 10:49
107	https://wageindicator.org/salary/minimum-wage/tunisia	Tunisia	Tunisia				03/05/2019 10:49
108	https://wageindicator.org/salary/minimum-wage/turkey	Turkey	Turkey	"2,020.00"		Valid on mei 2019	03/05/2019 10:49
109	https://wageindicator.org/salary/minimum-wage/uganda	Uganda	Uganda	"130,000.00"		Valid on mei 2019	03/05/2019 10:49
110	https://wageindicator.org/salary/minimum-wage/ukraine	Ukraine	Ukraine	"4,173.00"	25.13	Valid on mei 2019	03/05/2019 10:49
111	https://wageindicator.org/salary/minimum-wage/united-kingdom	United Kingdom	United Kingdom		8.21	Valid on mei 2019	03/05/2019 10:49
112	https://wageindicator.org/salary/minimum-wage/united-states	United States	United States				03/05/2019 10:49
113	https://wageindicator.org/salary/minimum-wage/uruguay	Uruguay	Uruguay				03/05/2019 10:49
114	https://wageindicator.org/salary/minimum-wage/venezuela	Venezuela	Venezuela	"18,000.00"		Valid on mei 2019	03/05/2019 10:49
115	https://wageindicator.org/salary/minimum-wage/vietnam	Vietnam	Vietnam	"4,180,000.00"		Valid on mei 2019	03/05/2019 10:49
116	https://wageindicator.org/salary/minimum-wage/zambia	Zambia	Zambia	"1,698.60"		Valid on mei 2019	03/05/2019 10:49
117	https://wageindicator.org/salary/minimum-wage/albania	Albania	Albania	"26,000.00"	149	Valid on mei 2019	03/05/2019 10:49
118	https://wageindicator.org/salary/minimum-wage/angola	Angola	Angola	"21,454.00"		Valid on mei 2019	03/05/2019 10:49
119	https://wageindicator.org/salary/minimum-wage/burkina-faso	Burkina Faso	Burkina Faso	"34,664.00"		Valid on mei 2019	03/05/2019 10:49
120	https://wageindicator.org/salary/minimum-wage/burundi	Burundi	Burundi			Valid on mei 2019	03/05/2019 10:49
121	https://wageindicator.org/salary/minimum-wage/croatia	Croatia	Croatia	"3,750.00"		Valid on mei 2019	03/05/2019 10:49
122	https://wageindicator.org/salary/minimum-wage/cuba	Cuba	Cuba				03/05/2019 10:49
123	https://wageindicator.org/salary/minimum-wage/cyprus	Cyprus	Cyprus	870	4.9	Valid on mei 2019	03/05/2019 10:49
124	https://wageindicator.org/salary/minimum-wage/estonia	Estonia	Estonia	540	3.2		03/05/2019 10:49
125	https://wageindicator.org/salary/minimum-wage/fiji	Fiji	Fiji			Valid on mei 2019	03/05/2019 10:49
126	https://wageindicator.org/salary/minimum-wage/reunion	Reunion	Reunion				03/05/2019 10:49
127	https://wageindicator.org/salary/minimum-wage/romania	Romania	Romania	"2,080.00"		Valid on mei 2019	03/05/2019 10:49
128	https://wageindicator.org/salary/minimum-wage/zanzibar	Zanzibar	Zanzibar			Valid on mei 2019	03/05/2019 10:49
129	https://wageindicator.org/salary/minimum-wage/zimbabwe	Zimbabwe	Zimbabwe				03/05/2019 10:49
